Institution Name_x,State Abbreviation,MSI Status,MSI Type,Average Work Study Award,Student Family Earnings Ceiling,Affordability Gap (net price minus income earned working 10 hrs at min wage),100% TTD Affordability Gap,Student Parent Affordability Gap: Center-Based Care,100% TTD Student Parent Affordability Gap: Center-Based Care,State,Latitude,Longitude,Admissions Website,Percent of Undergraduates Age 25 to 64,Percent of American Indian or Alaska Native Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Average Cost of Attendance In-State,Average Cost of Attendance Out-of-State,"Average Net Price for Low-Income Students, 2020-21",Median Debt for Dependent Students,Median Debt for Independent Students,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Students Working and Not Enrolled 10 Years After Entry
Eastern Connecticut State University,CT,1.0,Not MSI,2126.0,48000.0,8641.0,34564.0,31816.26,127265.04,Connecticut,41.72,-72.22,https://www.easternct.edu/admissions/,6.0,0.0,3.0,9.0,13.0,0.0,65.0,58.0,42.0,0.045738,0.085239,0.033264,0.107069,0.068607,0.169439,23870.0,37274.0,14933.0,17578.0,17800.0,52048.0,40487.0,47921.5
Simmons University,MA,1.0,Not MSI,2015.0,48000.0,13392.0,53568.0,38275.13,153100.52,Massachusetts,42.34,-71.1,https://www.simmons.edu/undergraduate/admission-and-financial-aid,8.0,0.0,11.0,8.0,14.0,0.0,57.0,100.0,0.0,0.09633,0.0,0.002294,0.066514,0.408257,0.050459,57940.0,57940.0,12476.0,21000.0,22000.0,58580.0,46165.0,47921.5
College of Our Lady of the Elms,MA,1.0,Not MSI,2015.0,48000.0,11515.0,46060.0,36398.13,145592.52,Massachusetts,42.14,-72.6,https://www.elms.edu/academics/undergraduate-admission/,29.0,0.0,3.0,9.0,17.0,0.0,49.0,76.0,24.0,0.066246,0.022082,0.059937,0.003155,0.400631,0.069401,51768.0,51768.0,15615.0,19500.0,23000.0,55002.0,52055.0,47921.5
Northeastern University,MA,1.0,Not MSI,2015.0,48000.0,-367.0,-1468.0,24516.13,98064.52,Massachusetts,42.34,-71.09,https://www.northeastern.edu/admissions/,1.0,0.0,18.0,6.0,11.0,0.0,43.0,54.0,46.0,0.200603,0.0,0.0,0.086039,0.096475,0.231447,72265.33333,72265.33333,13099.0,22250.0,24850.0,80525.0,63957.0,47921.5
Andrews University,MI,0.0,AANAPII,2082.0,48000.0,11028.0,44112.0,26486.8,105947.2,Michigan,41.96,-86.36,https://www.andrews.edu/admissions/,11.0,1.0,13.0,17.0,17.0,1.0,25.0,51.0,49.0,0.116418,0.059701,0.029851,0.01791,0.21194,0.101493,41968.0,41968.0,11019.0,20750.0,20500.0,54167.0,48966.0,47921.5
Alpena Community College,MI,1.0,Not MSI,2082.0,48000.0,-3217.0,-12868.0,12241.8,48967.2,Michigan,45.08,-83.45,www.alpenacc.edu/,18.0,3.0,2.0,2.0,2.0,0.0,90.0,54.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,14403.33333,14403.33333,2084.0,5500.0,8370.0,35232.0,30667.0,36041.0
Regis University,CO,0.0,HSI,2781.0,48000.0,12879.0,51516.0,31701.78,126807.12,Colorado,39.79,-105.03,https://www.regis.edu/admissions/index,33.0,0.0,6.0,5.0,26.0,0.0,50.0,64.0,36.0,0.074116,0.013683,0.014823,0.030787,0.346636,0.237172,52436.0,52436.0,18978.0,15750.0,23222.0,55766.0,66671.0,47921.5
Baker College,MI,1.0,Not MSI,2082.0,48000.0,7642.0,30568.0,23100.8,92403.2,Michigan,42.98,-84.17,www.baker.edu/admissions-and-aid/undergraduate-admissions/,51.0,1.0,2.0,9.0,5.0,0.0,75.0,73.0,27.0,0.130876,0.035945,0.020276,0.0,0.305069,0.329954,23020.0,23020.0,11947.0,14000.0,23000.0,32112.0,32328.0,47921.5
Purdue University-Main Campus,IN,1.0,Not MSI,1556.0,48000.0,2300.0,9200.0,18260.81,73043.24,Indiana,40.43,-86.91,https://www.purdue.edu/purdue/admissions/,3.0,0.0,12.0,2.0,6.0,0.0,63.0,42.0,58.0,0.246617,0.000861,0.024354,0.047232,0.058918,0.124969,20008.66667,38810.66667,3709.0,15252.0,12795.0,66045.0,58859.0,47921.5
Stanford University,CA,1.0,Not MSI,3040.0,48000.0,-7350.0,-29400.0,14195.02,56780.08,California,37.43,-122.17,admission.stanford.edu/,2.0,1.0,25.0,7.0,18.0,0.0,28.0,51.0,49.0,0.179931,0.0,0.0,0.1391,0.0,0.0,78898.0,78898.0,-1975.0,11390.0,7000.0,97405.0,100217.0,47921.5
