Institution Name_x,State Abbreviation,MSI Status,MSI Type,Average Work Study Award,Student Family Earnings Ceiling,Affordability Gap (net price minus income earned working 10 hrs at min wage),100% TTD Affordability Gap,Student Parent Affordability Gap: Center-Based Care,100% TTD Student Parent Affordability Gap: Center-Based Care,State,Latitude,Longitude,Admissions Website,Percent of Undergraduates Age 25 to 64,Percent of American Indian or Alaska Native Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Average Cost of Attendance In-State,Average Cost of Attendance Out-of-State,"Average Net Price for Low-Income Students, 2020-21",Median Debt for Dependent Students,Median Debt for Independent Students,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Students Working and Not Enrolled 10 Years After Entry
Ohio State University-Newark Campus,OH,1.0,Not MSI,1894.0,30000.0,7607.0,30428.0,22087.66,88350.64,Ohio,40.07,-82.45,newark.osu.edu/future-students/contact-us/,6.0,0.0,5.0,19.0,5.0,0.0,63.0,50.0,50.0,0.0,0.0,0.428571,0.0,0.0,0.082707,21042.0,44125.0,13279.0,14656.0,15750.0,56491.0,48257.0,36041.0
North Carolina Wesleyan University,NC,1.0,Not MSI,1889.0,30000.0,11949.0,47796.0,27086.93,108347.72,North Carolina,36.02,-77.77,www.ncwc.edu/admissions,33.0,2.0,0.0,42.0,3.0,0.0,26.0,52.0,48.0,0.088949,0.0,0.008086,0.010782,0.026954,0.48248,43043.66667,43043.66667,17488.0,14750.0,19494.0,41394.0,43119.0,47921.5
North Carolina State University at Raleigh,NC,1.0,Not MSI,1889.0,30000.0,2575.0,10300.0,17712.93,70851.72,North Carolina,35.79,-78.67,admissions.ncsu.edu/,6.0,0.0,8.0,6.0,7.0,0.0,67.0,49.0,51.0,0.248863,0.005175,0.024306,0.048769,0.0,0.164811,22661.33333,43446.33333,5784.0,17687.0,15936.0,61979.0,56176.0,47921.5
University of North Carolina at Pembroke,NC,0.0,NANTI,1889.0,30000.0,4297.0,17188.0,19434.93,77739.72,North Carolina,34.69,-79.2,https://www.uncp.edu/admissions,32.0,13.0,1.0,29.0,10.0,0.0,38.0,63.0,37.0,0.083832,0.0,0.042665,0.107036,0.07485,0.112275,13260.33333,17260.33333,8726.0,15000.0,15895.0,39001.0,39468.0,47921.5
Salem College,NC,1.0,Not MSI,1889.0,30000.0,12384.0,49536.0,27521.93,110087.72,North Carolina,36.09,-80.24,www.salem.edu/admissions,19.0,0.0,2.0,14.0,17.0,0.0,49.0,98.0,2.0,0.14876,0.016529,0.057851,0.049587,0.0,0.190083,42241.0,42241.0,10154.0,19500.0,22476.0,44098.0,36680.0,47921.5
Malone University,OH,1.0,Not MSI,1894.0,30000.0,12262.0,49048.0,26742.66,106970.64,Ohio,40.83,-81.38,https://www.malone.edu/admissions-aid/,11.0,0.0,2.0,6.0,3.0,0.0,74.0,59.0,41.0,0.067416,0.011236,0.082397,0.018727,0.164794,0.29588,44166.66667,44166.66667,15479.0,18000.0,17565.0,42679.0,58532.0,47921.5
Lourdes University,OH,1.0,Not MSI,1894.0,30000.0,16013.0,64052.0,30493.66,121974.64,Ohio,41.71,-83.71,www.lourdes.edu/admissions,13.0,1.0,1.0,11.0,1.0,0.0,78.0,58.0,42.0,0.05618,0.0,0.044944,0.011236,0.41573,0.219101,38105.66667,38105.66667,14770.0,19750.0,22614.0,40806.0,41007.0,47921.5
Notre Dame College,OH,1.0,Not MSI,1894.0,30000.0,15082.0,60328.0,29562.66,118250.64,Ohio,41.51,-81.52,www.notredamecollege.edu/admissions,16.0,0.0,1.0,27.0,4.0,0.0,56.0,54.0,46.0,0.076577,0.0,0.144144,0.018018,0.094595,0.328829,42742.66667,42742.66667,12802.0,16000.0,18632.0,41711.0,47679.0,47921.5
Saint Augustine's University,NC,0.0,HBCU,1889.0,30000.0,13721.0,54884.0,28858.93,115435.72,North Carolina,35.79,-78.62,www.st-aug.edu/admissions/,10.0,0.0,0.0,0.0,2.0,0.0,0.0,43.0,57.0,0.083333,0.0,0.009259,0.064815,0.111111,0.185185,28652.33333,28652.33333,17027.0,14250.0,21296.0,33644.0,33969.0,47921.5
Miami University-Oxford,OH,1.0,Not MSI,1894.0,30000.0,11150.0,44600.0,25630.66,102522.64,Ohio,39.51,-84.73,miamioh.edu/admission/,1.0,0.0,3.0,3.0,5.0,0.0,79.0,51.0,49.0,0.067558,0.0,0.071203,0.108141,0.049818,0.253949,31060.0,51735.0,14029.0,16250.0,15250.0,57011.0,39760.0,47921.5
Ohio Dominican University,OH,1.0,Not MSI,1894.0,30000.0,10723.0,42892.0,25203.66,100814.64,Ohio,39.99,-82.94,https://www.ohiodominican.edu/future-students,13.0,1.0,2.0,27.0,7.0,0.0,50.0,51.0,49.0,0.135417,0.0,0.135417,0.036458,0.0,0.276042,44193.33333,44193.33333,21431.0,15000.0,22380.0,45176.0,48268.0,47921.5
University of Northwestern Ohio,OH,1.0,Not MSI,1894.0,30000.0,11221.0,44884.0,25701.66,102806.64,Ohio,40.76,-84.16,www.unoh.edu/future-students,8.0,1.0,1.0,4.0,4.0,0.0,80.0,15.0,85.0,0.0,0.0,0.0,0.0,0.099415,0.725146,21850.0,21850.0,15417.0,13084.0,17500.0,48921.0,38117.0,36041.0
Bowling Green State University-Main Campus,OH,1.0,Not MSI,1894.0,30000.0,11986.0,47944.0,26466.66,105866.64,Ohio,41.38,-83.64,choose.bgsu.edu/,7.0,0.0,1.0,7.0,4.0,0.0,79.0,56.0,44.0,0.047126,0.020053,0.158757,0.024064,0.088904,0.129679,24667.0,32655.0,10684.0,17750.0,15456.0,46585.0,38665.0,47921.5
Bluffton University,OH,1.0,Not MSI,1894.0,30000.0,12896.0,51584.0,27376.66,109506.64,Ohio,40.9,-83.9,www.bluffton.edu/admission,5.0,0.0,1.0,14.0,3.0,0.0,73.0,45.0,55.0,0.041667,0.0,0.118056,0.006944,0.069444,0.256944,46540.66667,46540.66667,22071.0,21349.0,24000.0,43897.0,52686.0,47921.5
Baldwin Wallace University,OH,1.0,Not MSI,1894.0,30000.0,18470.0,73880.0,32950.66,131802.64,Ohio,41.37,-81.85,https://www.bw.edu/admission/,6.0,0.0,2.0,8.0,7.0,0.0,77.0,56.0,44.0,0.064972,0.0,0.103107,0.028249,0.131356,0.193503,52162.0,52162.0,19965.0,24500.0,25000.0,49670.0,49423.0,47921.5
Ohio Christian University,OH,1.0,Not MSI,1894.0,30000.0,19696.0,78784.0,34176.66,136706.64,Ohio,39.61,-82.9,www.ohiochristian.edu/campus-degrees/admissions,41.0,0.0,1.0,17.0,3.0,0.0,43.0,61.0,39.0,0.0,0.076453,0.06422,0.012232,0.067278,0.250765,31137.33333,31137.33333,21214.0,13000.0,19988.0,39291.0,39007.0,47921.5
University of Akron Main Campus,OH,1.0,Not MSI,1894.0,30000.0,8844.0,35376.0,23324.66,93298.64,Ohio,41.08,-81.51,www.uakron.edu/admissions/,11.0,0.0,4.0,11.0,3.0,0.0,74.0,48.0,52.0,0.162952,0.008071,0.066103,0.033436,0.150653,0.190238,23576.66667,23576.66667,19490.0,15208.0,19000.0,44832.0,39626.0,47921.5
Cleveland State University,OH,1.0,Not MSI,1894.0,30000.0,9433.0,37732.0,23913.66,95654.64,Ohio,41.5,-81.67,www.csuohio.edu/admissions/,19.0,0.0,4.0,16.0,8.0,0.0,63.0,56.0,44.0,0.106162,0.00297,0.042687,0.086488,0.211952,0.171121,24923.0,29886.0,13349.0,14500.0,19271.0,44689.0,48555.0,47921.5
Alabama State University,AL,0.0,HBCU,1936.0,30000.0,9887.0,39548.0,23125.57,92502.28,Alabama,32.36,-86.3,www.alasu.edu/admissions/index.aspx,7.0,0.0,0.0,93.0,1.0,0.0,2.0,65.0,35.0,0.078585,0.0,0.058939,0.019646,0.090373,0.151277,21675.33333,30003.33333,12877.0,16500.0,22958.0,32364.0,30602.0,47921.5
Alabama A & M University,AL,0.0,HBCU,1936.0,30000.0,10151.0,40604.0,23389.57,93558.28,Alabama,34.78,-86.57,https://www.aamu.edu/admissions-aid/index.html,6.0,0.0,0.0,90.0,1.0,0.0,2.0,59.0,41.0,0.169039,0.023132,0.039146,0.024911,0.0,0.163701,21177.33333,29787.33333,12177.0,15000.0,19859.0,35424.0,40299.0,47921.5
University of Alabama in Huntsville,AL,1.0,Not MSI,1936.0,30000.0,12896.0,51584.0,26134.57,104538.28,Alabama,34.72,-86.64,https://www.uah.edu/admissions,15.0,1.0,4.0,9.0,6.0,0.0,71.0,41.0,59.0,0.305199,0.0,0.022018,0.010398,0.135168,0.194495,25120.0,37516.0,14654.0,13500.0,15735.0,53803.0,56884.0,47921.5
Cedarville University,OH,1.0,Not MSI,1894.0,30000.0,17331.0,69324.0,31811.66,127246.64,Ohio,39.75,-83.81,https://www.cedarville.edu/Admissions,1.0,0.0,3.0,2.0,0.0,0.0,89.0,55.0,45.0,0.101215,0.00135,0.103914,0.014845,0.230769,0.129555,42677.33333,42677.33333,17544.0,17500.0,21000.0,49776.0,42114.0,47921.5
Case Western Reserve University,OH,1.0,Not MSI,1894.0,30000.0,15885.0,63540.0,30365.66,121462.64,Ohio,41.51,-81.61,admission.case.edu/,1.0,0.0,24.0,5.0,10.0,0.0,40.0,47.0,53.0,0.29472,0.003152,0.002364,0.063042,0.080378,0.086682,69376.66667,69376.66667,18240.0,22250.0,15375.0,77922.0,90133.0,47921.5
Capital University,OH,1.0,Not MSI,1894.0,30000.0,17149.0,68596.0,31629.66,126518.64,Ohio,39.95,-82.94,https://www.capital.edu/Admission/,7.0,0.0,3.0,10.0,5.0,0.0,72.0,61.0,39.0,0.066163,0.0,0.126654,0.056711,0.240076,0.122873,53400.33333,53400.33333,20739.0,20165.0,25000.0,49194.0,48985.0,47921.5
Auburn University at Montgomery,AL,0.0,PBI,1936.0,30000.0,9374.0,37496.0,22612.57,90450.28,Alabama,32.37,-86.18,www.aum.edu/admissions,20.0,0.0,3.0,44.0,1.0,0.0,42.0,67.0,33.0,0.094708,0.0,0.064067,0.027855,0.229805,0.149025,19778.0,29738.0,12565.0,11000.0,13750.0,41813.0,41548.0,47921.5
The University of Alabama,AL,1.0,Not MSI,1936.0,30000.0,14967.0,59868.0,28205.57,112822.28,Alabama,33.21,-87.55,gobama.ua.edu/,7.0,0.0,1.0,11.0,5.0,0.0,76.0,57.0,43.0,0.119788,0.0,0.026212,0.066142,0.107701,0.291593,26736.66667,46206.66667,18338.0,18000.0,15276.0,52977.0,51052.0,47921.5
Auburn University,AL,1.0,Not MSI,1936.0,30000.0,12707.0,50828.0,25945.57,103782.28,Alabama,32.6,-85.49,www.auburn.edu/admissions/,4.0,0.0,2.0,5.0,4.0,0.0,82.0,49.0,51.0,0.189878,0.0,0.045724,0.030017,0.057592,0.237522,28784.66667,48944.66667,16701.0,17500.0,18260.0,56700.0,60796.0,47921.5
University of Cincinnati-Main Campus,OH,1.0,Not MSI,1894.0,30000.0,11483.0,45932.0,25963.66,103854.64,Ohio,39.13,-84.51,admissions.uc.edu/,10.0,0.0,5.0,7.0,4.0,0.0,72.0,51.0,49.0,0.139385,0.002736,0.04217,0.034444,0.15033,0.195236,25114.0,40448.0,14344.0,11738.0,14750.0,50837.0,43692.0,47921.5
Mayville State University,ND,1.0,Not MSI,1620.0,30000.0,6175.0,24700.0,20277.86,81111.44,North Dakota,47.51,-97.32,https://www.mayvillestate.edu/prospective-students/admissions/,26.0,1.0,0.0,5.0,5.0,0.0,80.0,59.0,41.0,0.048889,0.111111,0.302222,0.013333,0.191111,0.164444,17692.0,20826.0,9961.0,12000.0,10929.0,42340.0,41783.0,47921.5
The University of Findlay,OH,1.0,Not MSI,1894.0,30000.0,15559.0,62236.0,30039.66,120158.64,Ohio,41.05,-83.65,www.findlay.edu/admissions/,3.0,1.0,2.0,3.0,2.0,0.0,62.0,64.0,36.0,0.033097,0.0,0.096927,0.002364,0.174941,0.193853,47331.33333,47331.33333,15751.0,19500.0,14250.0,50723.0,58431.0,47921.5
University of Mary,ND,1.0,Not MSI,1620.0,30000.0,10273.0,41092.0,24375.86,97503.44,North Dakota,46.72,-100.75,https://www.umary.edu/admissions,13.0,1.0,1.0,2.0,0.0,0.0,79.0,59.0,41.0,0.063636,0.036364,0.085455,0.007273,0.249091,0.178182,30542.0,30542.0,15267.0,18000.0,18750.0,54493.0,57614.0,47921.5
University of North Dakota,ND,1.0,Not MSI,1620.0,30000.0,9514.0,38056.0,23616.86,94467.44,North Dakota,47.92,-97.07,https://und.edu/admissions/,20.0,1.0,2.0,2.0,5.0,0.0,77.0,43.0,57.0,0.122288,0.048817,0.055227,0.040434,0.130671,0.132643,21456.66667,25897.66667,11298.0,16174.0,13359.0,57301.0,56873.0,47921.5
Minot State University,ND,1.0,Not MSI,1620.0,30000.0,4440.0,17760.0,18542.86,74171.44,North Dakota,48.25,-101.3,www.minotstateu.edu/enroll/,23.0,2.0,1.0,3.0,8.0,0.0,69.0,64.0,36.0,0.023669,0.04142,0.175542,0.001972,0.167653,0.197239,17083.33333,17083.33333,9659.0,11899.0,14025.0,45829.0,45152.0,47921.5
John Carroll University,OH,1.0,Not MSI,1894.0,30000.0,19347.0,77388.0,33827.66,135310.64,Ohio,41.49,-81.53,jcu.edu/admission,1.0,0.0,3.0,4.0,4.0,0.0,85.0,45.0,55.0,0.108527,0.0,0.049612,0.106977,0.0,0.294574,58056.0,58056.0,20983.0,23075.0,20500.0,60503.0,49437.0,47921.5
Dickinson State University,ND,1.0,Not MSI,1620.0,30000.0,7147.0,28588.0,21249.86,84999.44,North Dakota,46.88,-102.8,www.dickinsonstate.edu/admissions,18.0,1.0,1.0,4.0,7.0,0.0,76.0,57.0,43.0,0.054167,0.0,0.145833,0.008333,0.079167,0.416667,17822.0,19642.0,12756.0,12000.0,15564.0,48944.0,45811.0,47921.5
University of Jamestown,ND,1.0,Not MSI,1620.0,30000.0,11196.0,44784.0,25298.86,101195.44,North Dakota,46.91,-98.7, ,3.0,1.0,1.0,4.0,10.0,1.0,74.0,43.0,57.0,0.051948,0.0,0.11039,0.025974,0.12987,0.214286,33542.0,33542.0,15860.0,17156.0,12500.0,49304.0,43731.0,47921.5
Central State University,OH,0.0,HBCU,1894.0,30000.0,11982.0,47928.0,26462.66,105850.64,Ohio,39.72,-83.88,www.centralstate.edu/prospects/admissions/index.html,65.0,1.0,3.0,39.0,14.0,0.0,27.0,71.0,29.0,0.056391,0.0,0.086466,0.037594,0.0,0.259398,17548.66667,19548.66667,11773.0,9800.0,11505.0,31841.0,32217.0,47921.5
Ashland University,OH,1.0,Not MSI,1894.0,30000.0,16533.0,66132.0,31013.66,124054.64,Ohio,40.86,-82.32,https://www.ashland.edu/admissions,32.0,0.0,1.0,11.0,3.0,0.0,75.0,54.0,46.0,0.074242,0.0,0.157576,0.030303,0.281818,0.187879,32832.66667,32832.66667,17890.0,19500.0,18750.0,47592.0,48747.0,47921.5
Columbus College of Art and Design,OH,1.0,Not MSI,1894.0,30000.0,18557.0,74228.0,33037.66,132150.64,Ohio,39.97,-82.99,www.ccad.edu/admissions/apply-ccad,8.0,0.0,6.0,8.0,8.0,0.0,67.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50554.0,50554.0,15154.0,21125.0,20000.0,38405.0,45712.0,47921.5
University of Dayton,OH,1.0,Not MSI,1894.0,30000.0,21461.0,85844.0,35941.66,143766.64,Ohio,39.74,-84.18,https://udayton.edu/apply/,1.0,0.0,2.0,5.0,7.0,0.0,79.0,48.0,52.0,0.163234,0.004119,0.085479,0.031926,0.088568,0.298146,57553.33333,57553.33333,18843.0,20500.0,19530.0,66436.0,59411.0,47921.5
William Peace University,NC,1.0,Not MSI,1889.0,30000.0,11581.0,46324.0,26718.93,106875.72,North Carolina,35.79,-78.64,peace.edu/admissions/,17.0,1.0,2.0,27.0,12.0,0.0,51.0,54.0,46.0,0.060465,0.032558,0.060465,0.12093,0.065116,0.223256,44657.33333,44657.33333,18576.0,14935.0,16258.0,39824.0,52824.0,47921.5
North Dakota State University-Main Campus,ND,1.0,Not MSI,1620.0,30000.0,6247.0,24988.0,20349.86,81399.44,North Dakota,46.89,-96.8,https://www.ndsu.edu/admission/,6.0,1.0,2.0,3.0,3.0,0.0,86.0,50.0,50.0,0.160196,0.0,0.02738,0.020433,0.13772,0.158562,21312.33333,25787.33333,13056.0,16648.0,18750.0,56448.0,53548.0,47921.5
Defiance College,OH,1.0,Not MSI,1894.0,30000.0,16304.0,65216.0,30784.66,123138.64,Ohio,41.3,-84.36,www.defiance.edu/admissions/,6.0,1.0,0.0,23.0,7.0,0.0,66.0,40.0,60.0,0.036585,0.012195,0.146341,0.0,0.134146,0.182927,46621.33333,46621.33333,24604.0,13500.0,16668.0,44587.0,38993.0,47921.5
Valley City State University,ND,1.0,Not MSI,1620.0,30000.0,4630.0,18520.0,18732.86,74931.44,North Dakota,46.92,-98.0,www.vcsu.edu/admissions/,18.0,1.0,1.0,3.0,5.0,1.0,83.0,58.0,42.0,0.014599,0.029197,0.554745,0.00365,0.069343,0.083942,17709.66667,22483.66667,11754.0,12000.0,11000.0,46317.0,41250.0,47921.5
Trinity Bible College and Graduate School,ND,1.0,Not MSI,1620.0,30000.0,14226.0,56904.0,28328.86,113315.44,North Dakota,46.0,-98.52,trinitybiblecollege.edu/about/admissions/,22.0,1.0,2.0,9.0,4.0,0.0,80.0,51.0,49.0,0.0,0.033333,0.2,0.0,0.0,0.166667,27514.66667,27514.66667,19977.0,12266.0,16500.0,35239.0,32918.0,47921.5
Oklahoma Panhandle State University,OK,0.0,HSI,2215.0,30000.0,1747.0,6988.0,16967.73,67870.92,Oklahoma,36.59,-101.64,www.opsu.edu/Offices/Admissions/,29.0,7.0,1.0,10.0,25.0,0.0,50.0,54.0,46.0,0.068345,0.0,0.032374,0.003597,0.44964,0.089928,12904.66667,13648.66667,7118.0,7500.0,8651.0,43834.0,37948.0,47921.5
Chowan University,NC,1.0,Not MSI,1889.0,30000.0,10752.0,43008.0,25889.93,103559.72,North Carolina,36.44,-77.1,https://www.chowan.edu/admissions,4.0,1.0,0.0,57.0,4.0,0.0,21.0,42.0,58.0,0.085859,0.010101,0.055556,0.015152,0.0,0.141414,34970.0,34970.0,14780.0,13427.0,19635.0,36167.0,30877.0,47921.5
Oklahoma Baptist University,OK,1.0,Not MSI,2215.0,30000.0,15043.0,60172.0,30263.73,121054.92,Oklahoma,35.36,-96.93,https://www.okbu.edu/admissions,5.0,4.0,1.0,7.0,2.0,0.0,68.0,57.0,43.0,0.084548,0.0,0.09621,0.043732,0.166181,0.131195,43323.33333,43323.33333,17504.0,13500.0,18750.0,43533.0,45561.0,47921.5
Oklahoma State University-Main Campus,OK,1.0,Not MSI,2215.0,30000.0,5065.0,20260.0,20285.73,81142.92,Oklahoma,36.12,-97.07,https://admissions.okstate.edu/,9.0,4.0,2.0,4.0,9.0,0.0,68.0,52.0,48.0,0.119886,0.053531,0.037655,0.026664,0.026664,0.268471,21554.66667,37074.66667,6513.0,15000.0,18000.0,53274.0,49679.0,47921.5
Southwestern Oklahoma State University,OK,1.0,Not MSI,2215.0,30000.0,5115.0,20460.0,20335.73,81342.92,Oklahoma,35.54,-98.71,https://www.swosu.edu/admissions/index.php,19.0,3.0,1.0,5.0,12.0,0.0,64.0,60.0,40.0,0.046763,0.0,0.098321,0.009592,0.441247,0.118705,20067.66667,27177.66667,8278.0,10000.0,13274.0,43418.0,41860.0,47921.5
Southwestern Christian University,OK,1.0,Not MSI,2215.0,30000.0,13077.0,52308.0,28297.73,113190.92,Oklahoma,35.51,-97.64,www.swcu.edu/admission-process,9.0,7.0,1.0,16.0,8.0,1.0,42.0,43.0,57.0,0.0,0.03125,0.109375,0.0,0.0,0.390625,29934.66667,29934.66667,16948.0,10900.0,29500.0,37512.0,35260.0,47921.5
Southeastern Oklahoma State University,OK,0.0,NANTI,2215.0,30000.0,418.0,1672.0,15638.73,62554.92,Oklahoma,34.01,-96.38,www.se.edu/undergraduate/,34.0,12.0,1.0,5.0,8.0,0.0,54.0,56.0,44.0,0.132686,0.140777,0.100324,0.014563,0.0,0.220065,16681.33333,25621.33333,8066.0,8250.0,14250.0,44349.0,38349.0,47921.5
University of Tulsa,OK,1.0,Not MSI,2215.0,30000.0,12184.0,48736.0,27404.73,109618.92,Oklahoma,36.15,-95.95,https://utulsa.edu/admission/,4.0,3.0,6.0,8.0,11.0,0.0,51.0,50.0,50.0,0.202703,0.001351,0.004054,0.043243,0.072973,0.232432,61971.33333,61971.33333,23523.0,14004.0,17491.0,54333.0,53879.0,47921.5
Brevard College,NC,1.0,Not MSI,1889.0,30000.0,13868.0,55472.0,29005.93,116023.72,North Carolina,35.24,-82.73,https://brevard.edu/admission-aid/,4.0,2.0,1.0,11.0,8.0,0.0,68.0,41.0,59.0,0.023438,0.0,0.007813,0.0,0.0625,0.148438,39300.0,39300.0,16453.0,11000.0,10533.0,37888.0,28867.0,47921.5
Oral Roberts University,OK,1.0,Not MSI,2215.0,30000.0,14787.0,59148.0,30007.73,120030.92,Oklahoma,36.05,-95.95,https://oru.edu/admissions/,16.0,2.0,3.0,13.0,11.0,0.0,32.0,60.0,40.0,0.057692,0.022436,0.052885,0.035256,0.078526,0.182692,44865.33333,44865.33333,19570.0,19467.0,17250.0,42278.0,40036.0,47921.5
Campbell University,NC,1.0,Not MSI,1889.0,30000.0,14651.0,58604.0,29788.93,119155.72,North Carolina,35.41,-78.74,https://www.campbell.edu/admissions/,23.0,0.0,2.0,16.0,11.0,0.0,60.0,52.0,48.0,0.066272,0.001183,0.061538,0.035503,0.149112,0.23787,53558.33333,53558.33333,17652.0,16250.0,17000.0,49101.0,53404.0,47921.5
Fayetteville State University,NC,0.0,HBCU,1889.0,30000.0,2117.0,8468.0,17254.93,69019.72,North Carolina,35.07,-78.89,https://www.uncfsu.edu/fsu-admissions,39.0,1.0,2.0,59.0,9.0,0.0,19.0,70.0,30.0,0.052731,0.042373,0.037665,0.053672,0.241055,0.155367,14022.66667,25630.66667,5283.0,15000.0,15938.0,34738.0,40007.0,47921.5
Northeastern State University,OK,0.0,NANTI,2215.0,30000.0,3999.0,15996.0,19219.73,76878.92,Oklahoma,35.92,-94.97,https://offices.nsuok.edu/admissions/,34.0,21.0,2.0,4.0,7.0,0.0,48.0,64.0,36.0,0.058943,0.051491,0.108401,0.012195,0.140244,0.186314,18057.0,26697.0,7717.0,10517.0,15054.0,40362.0,39862.0,47921.5
University of Oklahoma-Norman Campus,OK,1.0,Not MSI,2215.0,30000.0,6930.0,27720.0,22150.73,88602.92,Oklahoma,35.21,-97.44,www.ou.edu/admissions,8.0,3.0,7.0,5.0,12.0,0.0,59.0,51.0,49.0,0.117524,0.069389,0.035216,0.068973,0.01667,0.217754,27393.0,43197.0,14875.0,15000.0,18000.0,56555.0,59803.0,47921.5
Oklahoma City University,OK,1.0,Not MSI,2215.0,30000.0,7783.0,31132.0,23003.73,92014.92,Oklahoma,35.5,-97.54,www.okcu.edu/admissions/home/,10.0,2.0,3.0,6.0,12.0,0.0,63.0,66.0,34.0,0.04717,0.023585,0.056604,0.004717,0.29717,0.068396,43318.0,43318.0,21013.0,16703.0,14500.0,43663.0,63589.0,47921.5
Oklahoma Christian University,OK,1.0,Not MSI,2215.0,30000.0,13484.0,53936.0,28704.73,114818.92,Oklahoma,35.61,-97.47,www.oc.edu/admissions/,12.0,2.0,2.0,10.0,9.0,0.0,68.0,54.0,46.0,0.118182,0.051515,0.048485,0.006061,0.151515,0.154545,36011.66667,36011.66667,14114.0,17091.0,14744.0,43886.0,38836.0,47921.5
Northwestern Oklahoma State University,OK,1.0,Not MSI,2215.0,30000.0,3425.0,13700.0,18645.73,74582.92,Oklahoma,36.8,-98.67,www.nwosu.edu/apply-for-admission,18.0,8.0,0.0,6.0,12.0,0.0,64.0,58.0,42.0,0.063694,0.079618,0.101911,0.012739,0.095541,0.149682,17580.0,24698.0,7652.0,10500.0,12500.0,41929.0,38624.0,47921.5
East Carolina University,NC,1.0,Not MSI,1889.0,30000.0,7503.0,30012.0,22640.93,90563.72,North Carolina,35.61,-77.37,https://admissions.ecu.edu/,15.0,1.0,3.0,17.0,9.0,0.0,63.0,59.0,41.0,0.078808,0.040188,0.074887,0.044501,0.168594,0.180945,22022.66667,38299.66667,11128.0,17875.0,18691.0,47755.0,45499.0,47921.5
Duke University,NC,1.0,Not MSI,1889.0,30000.0,-330.0,-1320.0,14807.93,59231.72,North Carolina,36.0,-78.94,www.admissions.duke.edu/,0.0,0.0,21.0,8.0,10.0,0.0,40.0,52.0,48.0,0.148328,0.0,0.015102,0.16397,0.079827,0.0,79860.0,79860.0,2945.0,11500.0,18750.0,91380.0,97802.0,47921.5
University of Science and Arts of Oklahoma,OK,0.0,NANTI,2215.0,30000.0,820.0,3280.0,16040.73,64162.92,Oklahoma,35.03,-97.96,usao.edu/future-students,13.0,5.0,1.0,5.0,8.0,0.0,55.0,64.0,36.0,0.104167,0.0,0.125,0.041667,0.0625,0.159722,17650.0,28510.0,7754.0,9653.0,13750.0,37585.0,36731.0,47921.5
Rogers State University,OK,0.0,NANTI,2215.0,30000.0,5939.0,23756.0,21159.73,84638.92,Oklahoma,36.32,-95.64,https://www.rsu.edu/admissions/,27.0,15.0,2.0,3.0,8.0,0.0,53.0,62.0,38.0,0.110619,0.035398,0.0,0.068584,0.210177,0.274336,21081.0,29421.0,11275.0,8375.0,12500.0,39312.0,41003.0,47921.5
Catawba College,NC,1.0,Not MSI,1889.0,30000.0,12267.0,49068.0,27404.93,109619.72,North Carolina,35.69,-80.48,www.catawba.edu/admissions,12.0,0.0,1.0,19.0,8.0,0.0,56.0,52.0,48.0,0.101961,0.003922,0.105882,0.047059,0.121569,0.215686,43940.0,43940.0,17186.0,13742.0,16716.0,43179.0,43391.0,47921.5
Linfield University,OR,1.0,Not MSI,2061.0,30000.0,20150.0,80600.0,40432.24,161728.96,Oregon,45.2,-123.2,https://www.linfield.edu/admission/index.html,2.0,0.0,5.0,1.0,18.0,1.0,64.0,60.0,40.0,0.094488,0.0,0.11811,0.114173,0.066929,0.15748,58448.66667,58448.66667,22367.0,23250.0,23255.0,60978.0,80584.0,47921.5
Pacific University,OR,0.0,AANAPII,2061.0,30000.0,17763.0,71052.0,38045.24,152180.96,Oregon,45.52,-123.11,https://www.pacificu.edu/admissions/undergraduate-admissions,9.0,0.0,12.0,2.0,17.0,2.0,47.0,62.0,38.0,0.129841,0.0,0.120729,0.050114,0.173121,0.066059,60693.33333,60693.33333,24132.0,19664.0,12500.0,54489.0,54229.0,47921.5
Bushnell University,OR,1.0,Not MSI,2061.0,30000.0,13902.0,55608.0,34184.24,136736.96,Oregon,44.05,-123.08,www.bushnell.edu/admissions/,21.0,2.0,3.0,3.0,12.0,3.0,67.0,58.0,42.0,0.091429,0.0,0.108571,0.0,0.125714,0.234286,42713.33333,42713.33333,16660.0,14000.0,16071.0,42607.0,53166.0,47921.5
